Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
2.7e+09,Inductance,2.07689e-09,7.58145e-10,2.29724e-10,1.25036e-10,2.06228e-09,4.68155e-10,2.29731e-10,2.06195e-09,7.58384e-10,2.0789e-09
2.7e+09,Conductance,0.000122252,-2.37671e-05,-3.12479e-07,9.82554e-07,0.000123084,-1.22156e-05,-2.86448e-07,0.00012319,-2.38884e-05,0.000122139
2.7e+09,Capacitance,4.24677e-13,-1.0609e-13,-3.92971e-15,-1.33759e-15,4.32364e-13,-5.04863e-14,-3.91417e-15,4.32492e-13,-1.06105e-13,4.23966e-13
2.8e+09,Resistance,0.219761,0.0183131,0.0047757,-0.00335278,0.222306,0.0254685,0.00475553,0.221504,0.0179778,0.212231
2.8e+09,Inductance,2.07663e-09,7.58128e-10,2.29757e-10,1.25064e-10,2.06203e-09,4.68149e-10,2.29762e-10,2.06169e-09,7.58366e-10,2.07865e-09
2.8e+09,Conductance,0.000126522,-2.45499e-05,-3.13028e-07,1.01274e-06,0.000127379,-1.25616e-05,-2.87392e-07,0.000127487,-2.46722e-05,0.000126397
2.8e+09,Capacitance,4.24513e-13,-1.06034e-13,-3.92279e-15,-1.32716e-15,4.32195e-13,-5.04578e-14,-3.90723e-15,4.32323e-13,-1.06049e-13,4.23803e-13
2.9e+09,Resistance,0.223538,0.0185739,0.00492613,-0.00329692,0.226026,0.0257523,0.0049129,0.225225,0.0182356,0.215866
2.9e+09,Inductance,2.0764e-09,7.58115e-10,2.29794e-10,1.25098e-10,2.06179e-09,4.68149e-10,2.29799e-10,2.06146e-09,7.58354e-10,2.07842e-09
2.9e+09,Conductance,0.000130743,-2.53104e-05,-3.10373e-07,1.03794e-06,0.000131621,-1.28888e-05,-2.85266e-07,0.000131731,-2.54332e-05,0.000130606
2.9e+09,Capacitance,4.24357e-13,-1.0598e-13,-3.91623e-15,-1.31697e-15,4.32033e-13,-5.04303e-14,-3.90067e-15,4.32162e-13,-1.05995e-13,4.23647e-13
3e+09,Resistance,0.22718,0.0188042,0.00508032,-0.00320948,0.229612,0.0260225,0.00507502,0.228813,0.0184641,0.219373
3e+09,Inductance,2.07618e-09,7.58109e-10,2.29837e-10,1.25136e-10,2.06158e-09,4.68154e-10,2.29841e-10,2.06124e-09,7.58347e-10,2.07821e-09
3e+09,Conductance,0.000134918,-2.60501e-05,-3.04553e-07,1.05821e-06,0.000135816,-1.31981e-05,-2.80098e-07,0.000135926,-2.61732e-05,0.000134768
