Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
5e+09,Inductance,5.2821e-09,1.96536e-09,5.2821e-09
5e+09,Conductance,0.000593932,-0.000131822,0.000593932
5e+09,Capacitance,1.01799e-12,-2.56303e-13,1.01799e-12
5.1e+09,Resistance,1.05638,0.0704319,1.05638
5.1e+09,Inductance,5.28188e-09,1.96535e-09,5.28188e-09
5.1e+09,Conductance,0.000604983,-0.00013406,0.000604983
5.1e+09,Capacitance,1.01799e-12,-2.56303e-13,1.01799e-12
5.2e+09,Resistance,1.06722,0.0713293,1.06722
5.2e+09,Inductance,5.28162e-09,1.9653e-09,5.28162e-09
5.2e+09,Conductance,0.000615979,-0.000136227,0.000615979
5.2e+09,Capacitance,1.01799e-12,-2.563e-13,1.01799e-12
5.3e+09,Resistance,1.07743,0.0721425,1.07743
5.3e+09,Inductance,5.28144e-09,1.96531e-09,5.28144e-09
5.3e+09,Conductance,0.000627103,-0.000138533,0.000627103
5.3e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
5.4e+09,Resistance,1.08804,0.0730421,1.08804
5.4e+09,Inductance,5.28121e-09,1.96527e-09,5.28121e-09
5.4e+09,Conductance,0.000638087,-0.000140692,0.000638087
5.4e+09,Capacitance,1.01799e-12,-2.563e-13,1.01799e-12
5.5e+09,Resistance,1.09727,0.0724681,1.09727
5.5e+09,Inductance,5.28108e-09,1.96531e-09,5.28108e-09
5.5e+09,Conductance,0.000649177,-0.000142791,0.000649177
5.5e+09,Capacitance,1.01799e-12,-2.56306e-13,1.01799e-12
5.6e+09,Resistance,1.1073,0.0735864,1.1073
5.6e+09,Inductance,5.28087e-09,1.96529e-09,5.28087e-09
5.6e+09,Conductance,0.00066028,-0.000145076,0.00066028
5.6e+09,Capacitance,1.01799e-12,-2.56304e-13,1.01799e-12
5.7e+09,Resistance,1.11867,0.0754167,1.11867
5.7e+09,Inductance,5.28061e-09,1.96522e-09,5.28061e-09
5.7e+09,Conductance,0.000671144,-0.000147307,0.000671144
5.7e+09,Capacitance,1.01799e-12,-2.56298e-13,1.01799e-12
5.8e+09,Resistance,1.12729,0.0747504,1.12729
5.8e+09,Inductance,5.28051e-09,1.96527e-09,5.28051e-09
5.8e+09,Conductance,0.000682268,-0.000149383,0.000682268
5.8e+09,Capacitance,1.01799e-12,-2.56305e-13,1.01799e-12
5.9e+09,Resistance,1.13609,0.0746934,1.13609
5.9e+09,Inductance,5.28035e-09,1.96527e-09,5.28035e-09
5.9e+09,Conductance,0.000693417,-0.000151554,0.000693417
5.9e+09,Capacitance,1.01799e-12,-2.56307e-13,1.01799e-12
6e+09,Resistance,1.14763,0.0776068,1.14763
6e+09,Inductance,5.28008e-09,1.96517e-09,5.28008e-09
6e+09,Conductance,0.00070431,-0.000153955,0.00070431
6e+09,Capacitance,1.01799e-12,-2.56297e-13,1.01799e-12
6.1e+09,Resistance,1.15652,0.077157,1.15652
6.1e+09,Inductance,5.27998e-09,1.96523e-09,5.27998e-09
6.1e+09,Conductance,0.000715338,-0.000156019,0.000715338
6.1e+09,Capacitance,1.01799e-12,-2.56304e-13,1.01799e-12
6.2e+09,Resistance,1.16573,0.0775727,1.16573
6.2e+09,Inductance,5.27986e-09,1.96525e-09,5.27986e-09
6.2e+09,Conductance,0.000726377,-0.00015819,0.000726377
6.2e+09,Capacitance,1.01799e-12,-2.56308e-13,1.01799e-12
6.3e+09,Resistance,1.17577,0.078896,1.17577
6.3e+09,Inductance,5.27966e-09,1.96521e-09,5.27966e-09
6.3e+09,Conductance,0.000737338,-0.000160455,0.000737338
6.3e+09,Capacitance,1.01799e-12,-2.56304e-13,1.01799e-12
6.4e+09,Resistance,1.18458,0.0789232,1.18458
6.4e+09,Inductance,5.27944e-09,1.96514e-09,5.27944e-09
6.4e+09,Conductance,0.000748391,-0.000162576,0.000748391
6.4e+09,Capacitance,1.01799e-12,-2.56298e-13,1.01799e-12
6.5e+09,Resistance,1.19369,0.0794131,1.19369
6.5e+09,Inductance,5.2794e-09,1.96524e-09,5.2794e-09
6.5e+09,Conductance,0.000759398,-0.00016477,0.000759398
6.5e+09,Capacitance,1.01799e-12,-2.56309e-13,1.01799e-12
6.6e+09,Resistance,1.20456,0.0817194,1.20456
6.6e+09,Inductance,5.27911e-09,1.96509e-09,5.27911e-09
6.6e+09,Conductance,0.000770194,-0.000167015,0.000770194
6.6e+09,Capacitance,1.018e-12,-2.56296e-13,1.018e-12
6.7e+09,Resistance,1.21313,0.0816302,1.21313
6.7e+09,Inductance,5.27916e-09,1.96527e-09,5.27916e-09
6.7e+09,Conductance,0.000781221,-0.000169202,0.000781221
6.7e+09,Capacitance,1.01798e-12,-2.56315e-13,1.01798e-12
6.8e+09,Resistance,1.21156,0.0717881,1.21156
6.8e+09,Inductance,5.27897e-09,1.96523e-09,5.27897e-09
6.8e+09,Conductance,0.000793312,-0.000170175,0.000793312
6.8e+09,Capacitance,1.01798e-12,-2.56312e-13,1.01798e-12
6.9e+09,Resistance,1.22807,0.0799213,1.22807
6.9e+09,Inductance,5.27881e-09,1.96519e-09,5.27881e-09
6.9e+09,Conductance,0.0008035,-0.000173154,0.0008035
6.9e+09,Capacitance,1.01798e-12,-2.56308e-13,1.01798e-12
7e+09,Resistance,1.24092,0.0843873,1.24092
7e+09,Inductance,5.27854e-09,1.96504e-09,5.27854e-09
7e+09,Conductance,0.000814068,-0.000175768,0.000814068
7e+09,Capacitance,1.018e-12,-2.56293e-13,1.018e-12
7.1e+09,Resistance,1.24608,0.081375,1.24608
7.1e+09,Inductance,5.27854e-09,1.96518e-09,5.27854e-09
7.1e+09,Conductance,0.000825391,-0.000177449,0.000825391
7.1e+09,Capacitance,1.01798e-12,-2.5631e-13,1.01798e-12
7.2e+09,Resistance,1.25786,0.0845915,1.25786
7.2e+09,Inductance,5.27831e-09,1.96506e-09,5.27831e-09
7.2e+09,Conductance,0.000836026,-0.000179965,0.000836026
7.2e+09,Capacitance,1.018e-12,-2.56298e-13,1.018e-12
7.3e+09,Resistance,1.26613,0.0843333,1.26613
7.3e+09,Inductance,5.27823e-09,1.96512e-09,5.27823e-09
7.3e+09,Conductance,0.000846948,-0.000181922,0.000846948
7.3e+09,Capacitance,1.01799e-12,-2.56307e-13,1.01799e-12
7.4e+09,Resistance,1.27442,0.08477,1.27442
7.4e+09,Inductance,5.2781e-09,1.9651e-09,5.2781e-09
7.4e+09,Conductance,0.000857957,-0.000184051,0.000857957
7.4e+09,Capacitance,1.01799e-12,-2.56306e-13,1.01799e-12
7.5e+09,Resistance,1.28312,0.0855113,1.28312
7.5e+09,Inductance,5.27795e-09,1.96505e-09,5.27795e-09
7.5e+09,Conductance,0.00086894,-0.000186334,0.00086894
7.5e+09,Capacitance,1.018e-12,-2.56299e-13,1.018e-12
7.6e+09,Resistance,1.2906,0.0858369,1.2906
7.6e+09,Inductance,5.27787e-09,1.965e-09,5.27787e-09
7.6e+09,Conductance,0.000880072,-0.000188454,0.000880072
7.6e+09,Capacitance,1.01798e-12,-2.56283e-13,1.01798e-12
7.7e+09,Resistance,1.30029,0.0883426,1.30029
7.7e+09,Inductance,5.27771e-09,1.96508e-09,5.27771e-09
7.7e+09,Conductance,0.000890981,-0.000190977,0.000890981
7.7e+09,Capacitance,1.018e-12,-2.56309e-13,1.018e-12
7.8e+09,Resistance,1.31001,0.0871391,1.31001
7.8e+09,Inductance,5.27765e-09,1.96507e-09,5.27765e-09
7.8e+09,Conductance,0.000901305,-0.000192393,0.000901305
7.8e+09,Capacitance,1.01798e-12,-2.56303e-13,1.01798e-12
7.9e+09,Resistance,1.31753,0.0893296,1.31753
7.9e+09,Inductance,5.27749e-09,1.96503e-09,5.27749e-09
7.9e+09,Conductance,0.00091269,-0.000195121,0.00091269
7.9e+09,Capacitance,1.01799e-12,-2.563e-13,1.01799e-12
8e+09,Resistance,1.32486,0.0900754,1.32486
8e+09,Inductance,5.27738e-09,1.96501e-09,5.27738e-09
8e+09,Conductance,0.000923898,-0.000197468,0.000923898
8e+09,Capacitance,1.01799e-12,-2.56298e-13,1.01799e-12
8.1e+09,Resistance,1.33545,0.0888001,1.33545
8.1e+09,Inductance,5.27727e-09,1.96503e-09,5.27727e-09
8.1e+09,Conductance,0.000933981,-0.000198827,0.000933981
8.1e+09,Capacitance,1.01799e-12,-2.56305e-13,1.01799e-12
8.2e+09,Resistance,1.34092,0.0905206,1.34092
8.2e+09,Inductance,5.27717e-09,1.965e-09,5.27717e-09
8.2e+09,Conductance,0.00094575,-0.000201643,0.00094575
8.2e+09,Capacitance,1.01799e-12,-2.56297e-13,1.01799e-12
8.3e+09,Resistance,1.35091,0.090541,1.35091
8.3e+09,Inductance,5.27706e-09,1.96502e-09,5.27706e-09
8.3e+09,Conductance,0.000956117,-0.000203368,0.000956117
8.3e+09,Capacitance,1.01799e-12,-2.56303e-13,1.01799e-12
8.4e+09,Resistance,1.35803,0.0916286,1.35803
8.4e+09,Inductance,5.27696e-09,1.965e-09,5.27696e-09
8.4e+09,Conductance,0.000967344,-0.000205756,0.000967344
8.4e+09,Capacitance,1.01799e-12,-2.563e-13,1.01799e-12
8.5e+09,Resistance,1.36694,0.092333,1.36694
8.5e+09,Inductance,5.27685e-09,1.96498e-09,5.27685e-09
8.5e+09,Conductance,0.000978069,-0.000207864,0.000978069
8.5e+09,Capacitance,1.01799e-12,-2.56299e-13,1.01799e-12
8.6e+09,Resistance,1.37628,0.0934984,1.37628
8.6e+09,Inductance,5.27676e-09,1.965e-09,5.27676e-09
8.6e+09,Conductance,0.000988695,-0.000209902,0.000988695
8.6e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
8.7e+09,Resistance,1.38266,0.0915226,1.38266
8.7e+09,Inductance,5.27665e-09,1.96498e-09,5.27665e-09
8.7e+09,Conductance,0.000999678,-0.000211671,0.000999678
8.7e+09,Capacitance,1.018e-12,-2.56303e-13,1.018e-12
8.8e+09,Resistance,1.38998,0.0925406,1.38998
8.8e+09,Inductance,5.27656e-09,1.96496e-09,5.27656e-09
8.8e+09,Conductance,0.00101078,-0.00021399,0.00101078
8.8e+09,Capacitance,1.01799e-12,-2.56301e-13,1.01799e-12
8.9e+09,Resistance,1.39889,0.0945887,1.39889
8.9e+09,Inductance,5.27647e-09,1.96497e-09,5.27647e-09
8.9e+09,Conductance,0.00102158,-0.000216226,0.00102158
8.9e+09,Capacitance,1.01799e-12,-2.56302e-13,1.01799e-12
9e+09,Resistance,1.40606,0.0947229,1.40606
9e+09,Inductance,5.27637e-09,1.96495e-09,5.27637e-09
9e+09,Conductance,0.00103261,-0.000218467,0.00103261
9e+09,Capacitance,1.01799e-12,-2.56299e-13,1.01799e-12
9.1e+09,Resistance,1.41383,0.0951984,1.41383
