Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
8.9e+09,Resistance,6.83449,-1.43994,-2.71161
8.9e+09,Inductance,5.27013e-09,1.93364e-09,5.21278e-09
8.9e+09,Conductance,-0.000453651,0.000483098,0.00211188
8.9e+09,Capacitance,1.00436e-12,-2.46505e-13,1.01468e-12
9e+09,Resistance,2.49806,2.74242,2.47365
9e+09,Inductance,5.25984e-09,1.9305e-09,5.30151e-09
9e+09,Conductance,0.000863126,-0.000813677,0.00106374
9e+09,Capacitance,1.02505e-12,-2.48299e-13,1.0114e-12
9.1e+09,Resistance,-3.27084,1.61692,4.8983
9.1e+09,Inductance,5.2944e-09,1.96957e-09,5.25889e-09
9.1e+09,Conductance,0.00148055,-0.000262998,0.000813556
9.1e+09,Capacitance,1.02409e-12,-2.52829e-13,9.96943e-13
9.2e+09,Resistance,-0.057265,-3.2424,-2.14309
9.2e+09,Inductance,5.22589e-09,1.86113e-09,5.23492e-09
9.2e+09,Conductance,0.00137014,5.08753e-05,0.00161964
9.2e+09,Capacitance,1.0257e-12,-2.43249e-13,1.02957e-12
9.3e+09,Resistance,2.49617,2.49854,1.27843
9.3e+09,Inductance,5.26254e-09,1.94354e-09,5.22653e-09
9.3e+09,Conductance,0.00141908,-0.000746897,0.00181827
9.3e+09,Capacitance,1.01242e-12,-2.54994e-13,1.01688e-12
9.4e+09,Resistance,9.21791,2.30035,1.32464
9.4e+09,Inductance,5.25223e-09,1.97147e-09,5.3257e-09
9.4e+09,Conductance,-0.000310768,-0.000420594,0.00177954
9.4e+09,Capacitance,1.00622e-12,-2.59521e-13,1.01478e-12
9.5e+09,Resistance,0.600702,-2.0947,-1.34287
9.5e+09,Inductance,5.31001e-09,1.95641e-09,5.28821e-09
9.5e+09,Conductance,0.000768977,5.16007e-05,0.00113238
9.5e+09,Capacitance,1.00858e-12,-2.51173e-13,1.02221e-12
