R,L,G,C
-0.031473928,4.55E-08,0.000379437,-7.87E-13
3.947572221,1.49E-07,-0.006139405,-2.08E-11
46.87597794,4.09E-07,0.032849996,8.32E-11
4.00E+09,4.00E+09,4.00E+09,4.00E+09
49.26772579,4.09E-07,0.03373914,8.33E-11
4.023793382,1.49E-07,-0.006261998,-2.08E-11
49.97746735,4.06E-07,0.033799539,8.48E-11
0.089149435,4.55E-08,0.000351206,-7.87E-13
6.530160226,9.23E-08,-0.002826497,-9.88E-12
49.83588443,4.06E-07,0.033819879,8.49E-11
-1.182537504,2.48E-08,0.000258491,-2.43E-13
0.159805152,4.55E-08,0.000347271,-7.84E-13
4.002265635,1.49E-07,-0.006273808,-2.08E-11
47.5790698,4.09E-07,0.033676766,8.32E-11
4.10E+09,4.10E+09,4.10E+09,4.10E+09
49.98829563,4.09E-07,0.034567988,8.33E-11
4.078124304,1.49E-07,-0.006395653,-2.08E-11
50.70255649,4.06E-07,0.034635772,8.48E-11
0.282473,4.55E-08,0.0003192,-7.84E-13
6.618033963,9.23E-08,-0.002864202,-9.88E-12
50.56229655,4.06E-07,0.03465631,8.48E-11
-1.042095461,2.49E-08,0.000257113,-2.42E-13
0.351334999,4.55E-08,0.000315862,-7.81E-13
4.055589697,1.49E-07,-0.006407724,-2.08E-11
48.27406069,4.09E-07,0.034503359,8.32E-11
4.20E+09,4.20E+09,4.20E+09,4.20E+09
50.70042197,4.09E-07,0.035396628,8.33E-11
4.131314645,1.49E-07,-0.006528972,-2.08E-11
51.41600686,4.06E-07,0.035471244,8.48E-11
0.47372444,4.55E-08,0.000288453,-7.81E-13
6.703978008,9.23E-08,-0.002901923,-9.87E-12
51.27712166,4.06E-07,0.03549197,8.48E-11
-0.893689715,2.49E-08,0.000253799,-2.40E-13
0.541003335,4.55E-08,0.000285661,-7.78E-13
4.107776738,1.49E-07,-0.006541301,-2.08E-11
48.96079351,4.09E-07,0.035329765,8.32E-11
4.30E+09,4.30E+09,4.30E+09,4.30E+09
51.40403492,4.09E-07,0.03622505,8.33E-11
4.183624061,1.49E-07,-0.006662097,-2.08E-11
52.11810811,4.06E-07,0.036305988,8.48E-11
0.661092481,4.55E-08,0.000259338,-7.78E-13
6.788096411,9.23E-08,-0.002939893,-9.87E-12
51.98063955,4.06E-07,0.036326892,8.48E-11
-0.738878454,2.49E-08,0.000248647,-2.39E-13
0.727021935,4.55E-08,0.000257038,-7.75E-13
4.159091121,1.49E-07,-0.00667468,-2.08E-11
49.63919519,4.09E-07,0.036155977,8.31E-11
4.40E+09,4.40E+09,4.40E+09,4.40E+09
52.09914243,4.09E-07,0.037053246,8.33E-11
4.235341192,1.49E-07,-0.006795155,-2.07E-11
52.80923443,4.06E-07,0.037140032,8.48E-11
0.843110695,4.56E-08,0.00023214,-7.75E-13
6.87056787,9.23E-08,-0.00297831,-9.87E-12
52.67321522,4.06E-07,0.037161107,8.48E-11
-0.57923379,2.49E-08,0.000241805,-2.38E-13
0.907935569,4.56E-08,0.000230276,-7.72E-13
4.209825058,1.49E-07,-0.006807987,-2.08E-11
50.3092701,4.09E-07,0.036981986,8.31E-11
4.50E+09,4.50E+09,4.50E+09,4.50E+09
52.78582299,4.09E-07,0.037881209,8.32E-11
4.286778619,1.49E-07,-0.006928262,-2.07E-11
53.4898324,4.06E-07,0.037973408,8.47E-11
1.018649979,4.56E-08,0.000207062,-7.72E-13
6.951640592,9.24E-08,-0.003017344,-9.86E-12
53.35528654,4.06E-07,0.037994646,8.48E-11
-0.416318363,2.49E-08,0.000233466,-2.36E-13
1.082616123,4.56E-08,0.000205576,-7.69E-13
4.260293669,1.50E-07,-0.006941338,-2.07E-11
50.97109278,4.09E-07,0.037807784,8.31E-11
4.60E+09,4.60E+09,4.60E+09,4.60E+09
53.46421796,4.09E-07,0.03870893,8.32E-11
4.338267318,1.49E-07,-0.007061521,-2.07E-11
54.1604087,4.06E-07,0.038806142,8.47E-11
1.186899164,4.56E-08,0.000184227,-7.69E-13
7.031624628,9.24E-08,-0.003057131,-9.86E-12
54.02735193,4.06E-07,0.038827539,8.48E-11
-0.251661977,2.49E-08,0.000223855,-2.35E-13
1.250245101,4.56E-08,0.000183064,-7.66E-13
4.310829549,1.50E-07,-0.007074837,-2.07E-11
51.62480004,4.09E-07,0.038633364,8.31E-11
4.70E+09,4.70E+09,4.70E+09,4.70E+09
54.13452345,4.09E-07,0.039536401,8.32E-11
4.390150859,1.50E-07,-0.007195024,-2.07E-11
54.8215181,4.06E-07,0.039638258,8.47E-11
1.347337197,4.56E-08,0.00016369,-7.66E-13
