Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
1.8e+09,Conductance,7.83053e-05,-1.47695e-05,1.06568e-06,8.59318e-07,7.71534e-05,-7.39597e-06,1.04296e-06,7.71926e-05,-1.4731e-05,7.81731e-05
1.8e+09,Capacitance,4.26285e-13,-1.06534e-13,-4.21762e-15,-1.38199e-15,4.34015e-13,-5.07062e-14,-4.20255e-15,4.34132e-13,-1.06553e-13,4.25617e-13
1.9e+09,Resistance,0.168671,0.0150488,0.00209317,-0.00384584,0.168646,0.0261375,0.00228791,0.167863,0.0146188,0.163607
1.9e+09,Inductance,2.08135e-09,7.59973e-10,2.3179e-10,1.26448e-10,2.06671e-09,4.69914e-10,2.31795e-10,2.06641e-09,7.60205e-10,2.08314e-09
1.9e+09,Conductance,8.26045e-05,-1.56428e-05,1.13726e-06,1.03671e-06,8.14094e-05,-7.8307e-06,1.11244e-06,8.14502e-05,-1.56004e-05,8.24652e-05
1.9e+09,Capacitance,4.26059e-13,-1.06477e-13,-4.21752e-15,-1.36913e-15,4.33792e-13,-5.06704e-14,-4.20236e-15,4.33909e-13,-1.06496e-13,4.25391e-13
2e+09,Resistance,0.172974,0.015797,0.00212148,-0.00457911,0.17335,0.027246,0.00232675,0.172548,0.0153466,0.167713
2e+09,Inductance,2.08101e-09,7.59955e-10,2.31804e-10,1.26445e-10,2.0664e-09,4.69861e-10,2.31808e-10,2.06609e-09,7.60187e-10,2.08282e-09
2e+09,Conductance,8.68887e-05,-1.65074e-05,1.18765e-06,1.22446e-06,8.56718e-05,-8.2457e-06,1.16101e-06,8.57143e-05,-1.64621e-05,8.67417e-05
2e+09,Capacitance,4.25846e-13,-1.06421e-13,-4.21616e-15,-1.35731e-15,4.33582e-13,-5.0636e-14,-4.20091e-15,4.33699e-13,-1.0644e-13,4.25178e-13
2.1e+09,Resistance,0.177254,0.0165602,0.0022281,-0.00528908,0.178082,0.0283277,0.00244355,0.177264,0.0160941,0.171807
2.1e+09,Inductance,2.0807e-09,7.59935e-10,2.31817e-10,1.26447e-10,2.0661e-09,4.69812e-10,2.3182e-10,2.0658e-09,7.60167e-10,2.08252e-09
2.1e+09,Conductance,9.11601e-05,-1.73616e-05,1.21744e-06,1.4198e-06,8.99398e-05,-8.6411e-06,1.18928e-06,8.99843e-05,-1.73142e-05,9.10048e-05
2.1e+09,Capacitance,4.25646e-13,-1.06366e-13,-4.21339e-15,-1.34654e-15,4.33383e-13,-5.06032e-14,-4.19806e-15,4.335e-13,-1.06384e-13,4.24978e-13
2.2e+09,Resistance,0.181526,0.0173308,0.0024105,-0.00596459,0.182837,0.0293793,0.0026357,0.182005,0.0168534,0.175901
2.2e+09,Inductance,2.08042e-09,7.59914e-10,2.31827e-10,1.26453e-10,2.06583e-09,4.69766e-10,2.3183e-10,2.06553e-09,7.60146e-10,2.08226e-09
2.2e+09,Conductance,9.54207e-05,-1.82042e-05,1.2278e-06,1.61977e-06,9.42127e-05,-9.01735e-06,1.1984e-06,9.42593e-05,-1.81555e-05,9.52567e-05
