Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
9.2e+09,Conductance,0.00160776
9.2e+09,Capacitance,1.47719e-12
9.3e+09,Resistance,0.743397
9.3e+09,Inductance,3.73548e-09
9.3e+09,Conductance,0.00162473
9.3e+09,Capacitance,1.47719e-12
9.4e+09,Resistance,0.747398
9.4e+09,Inductance,3.73543e-09
9.4e+09,Conductance,0.00164168
9.4e+09,Capacitance,1.47719e-12
9.5e+09,Resistance,0.751387
9.5e+09,Inductance,3.73539e-09
9.5e+09,Conductance,0.00165863
9.5e+09,Capacitance,1.47719e-12
9.6e+09,Resistance,0.755332
9.6e+09,Inductance,3.73535e-09
9.6e+09,Conductance,0.00167559
9.6e+09,Capacitance,1.4772e-12
9.7e+09,Resistance,0.759273
9.7e+09,Inductance,3.73531e-09
9.7e+09,Conductance,0.00169253
9.7e+09,Capacitance,1.4772e-12
9.8e+09,Resistance,0.763207
9.8e+09,Inductance,3.73526e-09
9.8e+09,Conductance,0.00170947
9.8e+09,Capacitance,1.47719e-12
9.9e+09,Resistance,0.767118
9.9e+09,Inductance,3.73522e-09
9.9e+09,Conductance,0.0017264
9.9e+09,Capacitance,1.47719e-12
1e+10,Resistance,0.77098
1e+10,Inductance,3.73518e-09
1e+10,Conductance,0.00174335
1e+10,Capacitance,1.4772e-12
1.01e+10,Resistance,0.774846
1.01e+10,Inductance,3.73514e-09
1.01e+10,Conductance,0.00176028
1.01e+10,Capacitance,1.4772e-12
1.02e+10,Resistance,0.778695
1.02e+10,Inductance,3.73509e-09
1.02e+10,Conductance,0.00177721
1.02e+10,Capacitance,1.47719e-12
1.03e+10,Resistance,0.782504
1.03e+10,Inductance,3.73505e-09
1.03e+10,Conductance,0.00179415
1.03e+10,Capacitance,1.47719e-12
1.04e+10,Resistance,0.786301
1.04e+10,Inductance,3.73502e-09
1.04e+10,Conductance,0.00181108
1.04e+10,Capacitance,1.4772e-12
1.05e+10,Resistance,0.790093
1.05e+10,Inductance,3.73498e-09
1.05e+10,Conductance,0.001828
1.05e+10,Capacitance,1.4772e-12
1.06e+10,Resistance,0.79387
1.06e+10,Inductance,3.73494e-09
1.06e+10,Conductance,0.00184492
1.06e+10,Capacitance,1.47719e-12
1.07e+10,Resistance,0.797604
1.07e+10,Inductance,3.7349e-09
1.07e+10,Conductance,0.00186185
1.07e+10,Capacitance,1.4772e-12
1.08e+10,Resistance,0.801364
1.08e+10,Inductance,3.73486e-09
1.08e+10,Conductance,0.00187875
1.08e+10,Capacitance,1.47719e-12
1.09e+10,Resistance,0.805078
1.09e+10,Inductance,3.73483e-09
1.09e+10,Conductance,0.00189567
1.09e+10,Capacitance,1.47719e-12
1.1e+10,Resistance,0.80876
1.1e+10,Inductance,3.7348e-09
1.1e+10,Conductance,0.00191259
1.1e+10,Capacitance,1.4772e-12
1.11e+10,Resistance,0.812473
1.11e+10,Inductance,3.73475e-09
1.11e+10,Conductance,0.00192949
1.11e+10,Capacitance,1.47719e-12
1.12e+10,Resistance,0.816106
1.12e+10,Inductance,3.73472e-09
1.12e+10,Conductance,0.00194641
1.12e+10,Capacitance,1.4772e-12
1.13e+10,Resistance,0.819773
1.13e+10,Inductance,3.73468e-09
1.13e+10,Conductance,0.0019633
1.13e+10,Capacitance,1.47719e-12
1.14e+10,Resistance,0.823387
1.14e+10,Inductance,3.73465e-09
1.14e+10,Conductance,0.00198022
1.14e+10,Capacitance,1.4772e-12
1.15e+10,Resistance,0.826982
1.15e+10,Inductance,3.73463e-09
1.15e+10,Conductance,0.00199713
1.15e+10,Capacitance,1.4772e-12
1.16e+10,Resistance,0.830621
1.16e+10,Inductance,3.73459e-09
1.16e+10,Conductance,0.00201401
1.16e+10,Capacitance,1.4772e-12
1.17e+10,Resistance,0.834178
1.17e+10,Inductance,3.73456e-09
1.17e+10,Conductance,0.00203092
1.17e+10,Capacitance,1.4772e-12
1.18e+10,Resistance,0.837769
1.18e+10,Inductance,3.73452e-09
1.18e+10,Conductance,0.00204781
1.18e+10,Capacitance,1.4772e-12
1.19e+10,Resistance,0.841275
1.19e+10,Inductance,3.7345e-09
1.19e+10,Conductance,0.00206472
1.19e+10,Capacitance,1.4772e-12
1.2e+10,Resistance,0.844851
1.2e+10,Inductance,3.73446e-09
1.2e+10,Conductance,0.0020816
1.2e+10,Capacitance,1.4772e-12
1.21e+10,Resistance,0.848331
1.21e+10,Inductance,3.73443e-09
1.21e+10,Conductance,0.00209851
1.21e+10,Capacitance,1.4772e-12
1.22e+10,Resistance,0.85188
1.22e+10,Inductance,3.7344e-09
1.22e+10,Conductance,0.00211538
1.22e+10,Capacitance,1.4772e-12
1.23e+10,Resistance,0.855433
1.23e+10,Inductance,3.73436e-09
1.23e+10,Conductance,0.00213224
1.23e+10,Capacitance,1.47719e-12
1.24e+10,Resistance,0.858867
1.24e+10,Inductance,3.73434e-09
1.24e+10,Conductance,0.00214914
1.24e+10,Capacitance,1.4772e-12
1.25e+10,Resistance,0.862368
1.25e+10,Inductance,3.7343e-09
1.25e+10,Conductance,0.00216602
1.25e+10,Capacitance,1.47719e-12
