Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
2.8e+08,Inductance,1.32575e-08,4.15011e-09,9.18845e-09,3.53027e-09,1.3287e-08,3.5331e-09,9.19003e-09,1.32585e-08,3.0412e-09,1.32748e-08
2.8e+08,Conductance,4.01928e-05,-3.37545e-06,-2.30663e-05,-9.45462e-07,3.89808e-05,-9.70706e-07,-2.19857e-05,3.97401e-05,-1.36553e-07,3.86423e-05
2.8e+08,Capacitance,1.57958e-12,-1.57838e-13,-9.33445e-13,-4.72022e-14,1.5765e-12,-4.7365e-14,-9.30384e-13,1.55001e-12,-1.82958e-14,1.5467e-12
2.9e+08,Resistance,0.246867,0.0759176,0.0489712,0.0565337,0.248888,0.0573349,0.0486243,0.245895,0.0450921,0.246086
2.9e+08,Inductance,1.32544e-08,4.14952e-09,9.18761e-09,3.52993e-09,1.32838e-08,3.53274e-09,9.18919e-09,1.32554e-08,3.04101e-09,1.32717e-08
2.9e+08,Conductance,4.16987e-05,-3.52753e-06,-2.38373e-05,-9.86732e-07,4.05193e-05,-1.01786e-06,-2.27795e-05,4.12174e-05,-1.55524e-07,4.01533e-05
2.9e+08,Capacitance,1.57945e-12,-1.57834e-13,-9.33353e-13,-4.71998e-14,1.57641e-12,-4.73595e-14,-9.3033e-13,1.54987e-12,-1.82967e-14,1.5466e-12
3e+08,Resistance,0.255013,0.0803087,0.0531531,0.0604967,0.256775,0.0613359,0.0526851,0.254127,0.048831,0.254022
3e+08,Inductance,1.32513e-08,4.14893e-09,9.18675e-09,3.52959e-09,1.32807e-08,3.53237e-09,9.18833e-09,1.32524e-08,3.04081e-09,1.32686e-08
3e+08,Conductance,4.31975e-05,-3.68015e-06,-2.45999e-05,-1.02803e-06,4.20544e-05,-1.06478e-06,-2.35679e-05,4.26886e-05,-1.75464e-07,4.16603e-05
3e+08,Capacitance,1.57932e-12,-1.5783e-13,-9.33265e-13,-4.71972e-14,1.57631e-12,-4.73537e-14,-9.30277e-13,1.54973e-12,-1.8297e-14,1.54651e-12
3.1e+08,Resistance,0.263232,0.0848281,0.0574488,0.0645968,0.264739,0.0654666,0.0568744,0.262427,0.0527064,0.262044
3.1e+08,Inductance,1.32483e-08,4.14834e-09,9.18589e-09,3.52924e-09,1.32776e-08,3.53199e-09,9.18747e-09,1.32495e-08,3.04059e-09,1.32655e-08
3.1e+08,Conductance,4.46891e-05,-3.83314e-06,-2.53549e-05,-1.06936e-06,4.35852e-05,-1.11135e-06,-2.43513e-05,4.41537e-05,-1.96171e-07,4.31629e-05
3.1e+08,Capacitance,1.57919e-12,-1.57826e-13,-9.33182e-13,-4.71945e-14,1.57622e-12,-4.73476e-14,-9.30228e-13,1.5496e-12,-1.82968e-14,1.54642e-12
3.2e+08,Resistance,0.27152,0.0894753,0.0618562,0.0688336,0.27278,0.0697261,0.0611916,0.270789,0.0567172,0.270149
3.2e+08,Inductance,1.32454e-08,4.14776e-09,9.18502e-09,3.52889e-09,1.32747e-08,3.53161e-09,9.18661e-09,1.32467e-08,3.04035e-09,1.32626e-08
3.2e+08,Conductance,4.61737e-05,-3.98632e-06,-2.61032e-05,-1.11075e-06,4.51114e-05,-1.1575e-06,-2.51302e-05,4.56127e-05,-2.1745e-07,4.46606e-05
3.2e+08,Capacitance,1.57907e-12,-1.57822e-13,-9.33104e-13,-4.71918e-14,1.57613e-12,-4.73413e-14,-9.3018e-13,1.54947e-12,-1.8296e-14,1.54633e-12
3.3e+08,Resistance,0.279873,0.0942495,0.0663734,0.073207,0.280895,0.0741135,0.0656365,0.279209,0.0608622,0.278334
3.3e+08,Inductance,1.32426e-08,4.14718e-09,9.18415e-09,3.52853e-09,1.32718e-08,3.53122e-09,9.18575e-09,1.32439e-08,3.04011e-09,1.32598e-08
3.3e+08,Conductance,4.76515e-05,-4.13959e-06,-2.68457e-05,-1.15223e-06,4.66327e-05,-1.20317e-06,-2.59052e-05,4.7066e-05,-2.39112e-07,4.61534e-05
3.3e+08,Capacitance,1.57895e-12,-1.57818e-13,-9.33031e-13,-4.7189e-14,1.57604e-12,-4.73349e-14,-9.30136e-13,1.54935e-12,-1.82948e-14,1.54624e-12
3.4e+08,Resistance,0.288288,0.0991505,0.0709995,0.0777166,0.289085,0.0786282,0.0702096,0.287684,0.0651407,0.286598
3.4e+08,Inductance,1.32399e-08,4.14661e-09,9.18329e-09,3.52817e-09,1.3269e-08,3.53083e-09,9.1849e-09,1.32412e-08,3.03985e-09,1.3257e-08
3.4e+08,Conductance,4.91229e-05,-4.29284e-06,-2.75833e-05,-1.19386e-06,4.81489e-05,-1.2483e-06,-2.6677e-05,4.85136e-05,-2.60978e-07,4.76412e-05
3.4e+08,Capacitance,1.57884e-12,-1.57814e-13,-9.32962e-13,-4.71862e-14,1.57596e-12,-4.73283e-14,-9.30093e-13,1.54924e-12,-1.82931e-14,1.54616e-12
3.5e+08,Resistance,0.296763,0.104178,0.0757337,0.0823624,0.29735,0.0832695,0.0749115,0.296213,0.0695517,0.29494
3.5e+08,Inductance,1.32372e-08,4.14604e-09,9.18244e-09,3.52781e-09,1.32664e-08,3.53044e-09,9.18406e-09,1.32386e-08,3.03959e-09,1.32543e-08
3.5e+08,Conductance,5.05882e-05,-4.44601e-06,-2.83168e-05,-1.23568e-06,4.96601e-05,-1.29287e-06,-2.74462e-05,4.99561e-05,-2.82882e-07,4.91242e-05
3.5e+08,Capacitance,1.57874e-12,-1.5781e-13,-9.32899e-13,-4.71834e-14,1.57588e-12,-4.73218e-14,-9.30054e-13,1.54913e-12,-1.82911e-14,1.54608e-12
3.6e+08,Resistance,0.305296,0.109332,0.080576,0.0871444,0.30569,0.088037,0.0797432,0.304794,0.0740946,0.30336
3.6e+08,Inductance,1.32347e-08,4.14547e-09,9.1816e-09,3.52744e-09,1.32638e-08,3.53004e-09,9.18323e-09,1.3236e-08,3.03932e-09,1.32517e-08
3.6e+08,Conductance,5.2048e-05,-4.59903e-06,-2.90468e-05,-1.27776e-06,5.11664e-05,-1.33684e-06,-2.82134e-05,5.13936e-05,-3.04671e-07,5.06025e-05
3.6e+08,Capacitance,1.57864e-12,-1.57807e-13,-9.32839e-13,-4.71806e-14,1.5758e-12,-4.73152e-14,-9.30016e-13,1.54902e-12,-1.82888e-14,1.546e-12
3.7e+08,Resistance,0.313888,0.114613,0.0855265,0.0920624,0.314107,0.0929303,0.0847056,0.313427,0.0787685,0.311857
3.7e+08,Inductance,1.32322e-08,4.14492e-09,9.18078e-09,3.52707e-09,1.32612e-08,3.52965e-09,9.18242e-09,1.32336e-08,3.03904e-09,1.32492e-08
3.7e+08,Conductance,5.35026e-05,-4.75187e-06,-2.97742e-05,-1.32013e-06,5.26679e-05,-1.3802e-06,-2.89793e-05,5.28266e-05,-3.26208e-07,5.20765e-05
3.7e+08,Capacitance,1.57854e-12,-1.57803e-13,-9.32784e-13,-4.71778e-14,1.57572e-12,-4.73087e-14,-9.29981e-13,1.54892e-12,-1.82863e-14,1.54593e-12
3.8e+08,Resistance,0.322537,0.12002,0.0905854,0.097116,0.322601,0.0979488,0.0897993,0.322112,0.0835727,0.320431
