Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_5:Line_1_5),RLGC1[1 2] - (Line_1_5:Line_2_6),RLGC1[1 3] - (Line_1_5:Line_3_7),RLGC1[1 4] - (Line_1_5:Line_4_8),RLGC1[2 2] - (Line_2_6:Line_2_6),RLGC1[2 3] - (Line_2_6:Line_3_7),RLGC1[2 4] - (Line_2_6:Line_4_8),RLGC1[3 3] - (Line_3_7:Line_3_7),RLGC1[3 4] - (Line_3_7:Line_4_8),RLGC1[4 4] - (Line_4_8:Line_4_8)
2.11e+09,Conductance,3.09118e-06,2.54501e-06,2.85702e-06,1.76214e-06,3.01011e-06,1.76835e-06,2.97387e-06,4.94036e-06,4.23522e-07,4.85079e-06
2.11e+09,Capacitance,3.19068e-13,-3.55125e-14,-2.02997e-13,-1.16648e-14,3.1914e-13,-1.16653e-14,-2.03065e-13,3.09727e-13,-5.57761e-15,3.09794e-13
2.21e+09,Resistance,75.5647,74.1624,75.3678,73.7411,75.5591,73.7423,75.359,75.8758,73.2406,75.8669
2.21e+09,Inductance,7.36481e-09,2.40231e-09,5.17459e-09,1.97156e-09,7.36417e-09,1.97154e-09,5.17433e-09,7.39239e-09,1.59598e-09,7.39174e-09
2.21e+09,Conductance,3.327e-06,2.70383e-06,3.16982e-06,1.92248e-06,3.25694e-06,1.92608e-06,3.27118e-06,5.30083e-06,4.71872e-07,5.22476e-06
2.21e+09,Capacitance,3.19057e-13,-3.55148e-14,-2.02998e-13,-1.167e-14,3.1913e-13,-1.16704e-14,-2.03066e-13,3.09711e-13,-5.57217e-15,3.09778e-13
2.31e+09,Resistance,75.7603,74.2654,75.5635,73.8139,75.7546,73.8153,75.5545,76.0918,73.2763,76.0825
2.31e+09,Inductance,7.35854e-09,2.39897e-09,5.16846e-09,1.96903e-09,7.35794e-09,1.96901e-09,5.16824e-09,7.38515e-09,1.59442e-09,7.38454e-09
2.31e+09,Conductance,3.56401e-06,2.87177e-06,3.50406e-06,2.08715e-06,3.50629e-06,2.08829e-06,3.58803e-06,5.66168e-06,5.30791e-07,5.60101e-06
2.31e+09,Capacitance,3.19047e-13,-3.55163e-14,-2.02999e-13,-1.16754e-14,3.1912e-13,-1.16756e-14,-2.03068e-13,3.09694e-13,-5.56674e-15,3.09762e-13
2.41e+09,Resistance,75.9572,74.3686,75.7605,73.8864,75.9514,73.8879,75.7513,76.3088,73.3109,76.2991
2.41e+09,Inductance,7.35256e-09,2.39589e-09,5.16256e-09,1.96676e-09,7.35198e-09,1.96673e-09,5.16239e-09,7.37818e-09,1.59311e-09,7.37762e-09
2.41e+09,Conductance,3.80298e-06,3.0534e-06,3.85824e-06,2.25556e-06,3.75863e-06,2.25447e-06,3.92339e-06,6.02468e-06,6.01809e-07,5.98089e-06
2.41e+09,Capacitance,3.19037e-13,-3.55171e-14,-2.03001e-13,-1.16809e-14,3.1911e-13,-1.16809e-14,-2.03071e-13,3.09678e-13,-5.56146e-15,3.09747e-13
2.51e+09,Resistance,76.1556,74.4724,75.9589,73.9587,76.1497,73.9604,75.9496,76.5269,73.3446,76.5167
2.51e+09,Inductance,7.34685e-09,2.39308e-09,5.15692e-09,1.96474e-09,7.3463e-09,1.9647e-09,5.15679e-09,7.3715e-09,1.59205e-09,7.37098e-09
