Frequency,R11,R12,R21,R22,L11,L12,L21,L22,G11,G12,G21,G22,C11,C12,C21,C22
5.70E+09,1.67E+02,0.00E+00,0.00E+00,1.67E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.53E-02,0.00E+00,0.00E+00,4.53E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.80E+09,1.68E+02,0.00E+00,0.00E+00,1.68E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.61E-02,0.00E+00,0.00E+00,4.61E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
5.90E+09,1.70E+02,0.00E+00,0.00E+00,1.70E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.69E-02,0.00E+00,0.00E+00,4.69E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.00E+09,1.71E+02,0.00E+00,0.00E+00,1.71E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.77E-02,0.00E+00,0.00E+00,4.77E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.10E+09,1.73E+02,0.00E+00,0.00E+00,1.73E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.84E-02,0.00E+00,0.00E+00,4.84E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.20E+09,1.74E+02,0.00E+00,0.00E+00,1.74E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,4.92E-02,0.00E+00,0.00E+00,4.92E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.30E+09,1.76E+02,0.00E+00,0.00E+00,1.76E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.00E-02,0.00E+00,0.00E+00,5.00E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.40E+09,1.77E+02,0.00E+00,0.00E+00,1.77E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.08E-02,0.00E+00,0.00E+00,5.08E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.50E+09,1.78E+02,0.00E+00,0.00E+00,1.78E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.16E-02,0.00E+00,0.00E+00,5.16E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.60E+09,1.80E+02,0.00E+00,0.00E+00,1.80E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.24E-02,0.00E+00,0.00E+00,5.24E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.70E+09,1.81E+02,0.00E+00,0.00E+00,1.81E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.32E-02,0.00E+00,0.00E+00,5.32E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.80E+09,1.82E+02,0.00E+00,0.00E+00,1.82E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.40E-02,0.00E+00,0.00E+00,5.40E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
6.90E+09,1.84E+02,0.00E+00,0.00E+00,1.84E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.48E-02,0.00E+00,0.00E+00,5.48E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.00E+09,1.85E+02,0.00E+00,0.00E+00,1.85E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.56E-02,0.00E+00,0.00E+00,5.56E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.10E+09,1.86E+02,0.00E+00,0.00E+00,1.86E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.64E-02,0.00E+00,0.00E+00,5.64E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
7.20E+09,1.88E+02,0.00E+00,0.00E+00,1.88E+02,4.29E-07,0.00E+00,0.00E+00,4.29E-07,5.72E-02,0.00E+00,0.00E+00,5.72E-02,7.55E-11,0.00E+00,0.00E+00,7.55E-11
