Frequency(Hz),Value Type:,RLGC1[1 1] - ( Model1 ),RLGC1[1 2] - ( Model1 ),RLGC1[2 2] - ( Model2 )
1.31e+10,Resistance,4.99405,0.454507,4.99405
1.31e+10,Inductance,1.07058e-08,3.50981e-09,1.07058e-08
1.31e+10,Conductance,0.00292014,-0.00048982,0.00292014
1.31e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
1.33e+10,Resistance,5.03053,0.456829,5.03053
1.33e+10,Inductance,1.07055e-08,3.50976e-09,1.07055e-08
1.33e+10,Conductance,0.00296234,-0.000496075,0.00296234
1.33e+10,Capacitance,1.9467e-12,-4.06135e-13,1.9467e-12
1.35e+10,Resistance,5.06807,0.45972,5.06807
1.35e+10,Inductance,1.07051e-08,3.50971e-09,1.07051e-08
1.35e+10,Conductance,0.00300429,-0.000502314,0.00300429
1.35e+10,Capacitance,1.9467e-12,-4.06133e-13,1.9467e-12
1.37e+10,Resistance,5.10455,0.462288,5.10455
1.37e+10,Inductance,1.07049e-08,3.50975e-09,1.07049e-08
1.37e+10,Conductance,0.00304636,-0.000508606,0.00304636
1.37e+10,Capacitance,1.9467e-12,-4.06141e-13,1.9467e-12
1.39e+10,Resistance,5.14504,0.469343,5.14504
1.39e+10,Inductance,1.07046e-08,3.5097e-09,1.07046e-08
1.39e+10,Conductance,0.00308793,-0.00051537,0.00308793
1.39e+10,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
1.41e+10,Resistance,5.1823,0.472499,5.1823
1.41e+10,Inductance,1.07043e-08,3.50967e-09,1.07043e-08
1.41e+10,Conductance,0.00312975,-0.000521629,0.00312975
1.41e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.43e+10,Resistance,5.21857,0.475402,5.21857
1.43e+10,Inductance,1.0704e-08,3.50965e-09,1.0704e-08
1.43e+10,Conductance,0.00317167,-0.000527897,0.00317167
1.43e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.45e+10,Resistance,5.25383,0.478252,5.25383
1.45e+10,Inductance,1.07038e-08,3.50961e-09,1.07038e-08
1.45e+10,Conductance,0.00321374,-0.0005342,0.00321374
1.45e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.47e+10,Resistance,5.29133,0.481421,5.29133
1.47e+10,Inductance,1.07035e-08,3.50959e-09,1.07035e-08
1.47e+10,Conductance,0.00325527,-0.000540317,0.00325527
1.47e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.49e+10,Resistance,5.32686,0.485666,5.32686
1.49e+10,Inductance,1.07032e-08,3.50957e-09,1.07032e-08
1.49e+10,Conductance,0.00329732,-0.000546899,0.00329732
1.49e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.51e+10,Resistance,5.36273,0.488793,5.36273
1.51e+10,Inductance,1.0703e-08,3.50955e-09,1.0703e-08
1.51e+10,Conductance,0.00333905,-0.000553142,0.00333905
1.51e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
1.53e+10,Resistance,5.39917,0.491485,5.39917
1.53e+10,Inductance,1.07027e-08,3.50952e-09,1.07027e-08
1.53e+10,Conductance,0.00338059,-0.000559176,0.00338059
1.53e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.55e+10,Resistance,5.43227,0.495935,5.43227
1.55e+10,Inductance,1.07025e-08,3.5095e-09,1.07025e-08
1.55e+10,Conductance,0.00342296,-0.000565947,0.00342296
1.55e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.57e+10,Resistance,5.46879,0.498842,5.46879
1.57e+10,Inductance,1.07023e-08,3.50948e-09,1.07023e-08
1.57e+10,Conductance,0.00346436,-0.000571988,0.00346436
1.57e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.59e+10,Resistance,5.50308,0.501331,5.50308
1.59e+10,Inductance,1.0702e-08,3.50945e-09,1.0702e-08
1.59e+10,Conductance,0.00350612,-0.000578135,0.00350612
1.59e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.61e+10,Resistance,5.53779,0.504452,5.53779
1.61e+10,Inductance,1.07018e-08,3.50945e-09,1.07018e-08
1.61e+10,Conductance,0.00354782,-0.00058438,0.00354782
1.61e+10,Capacitance,1.9467e-12,-4.06139e-13,1.9467e-12
1.63e+10,Resistance,5.57102,0.507076,5.57102
1.63e+10,Inductance,1.07015e-08,3.50941e-09,1.07015e-08
1.63e+10,Conductance,0.00358972,-0.000590625,0.00358972
1.63e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.65e+10,Resistance,5.60686,0.511195,5.60686
1.65e+10,Inductance,1.07014e-08,3.50941e-09,1.07014e-08
1.65e+10,Conductance,0.00363115,-0.00059688,0.00363115
1.65e+10,Capacitance,1.9467e-12,-4.06138e-13,1.9467e-12
1.67e+10,Resistance,5.63775,0.512259,5.63775
1.67e+10,Inductance,1.07011e-08,3.50938e-09,1.07011e-08
1.67e+10,Conductance,0.00367328,-0.000603017,0.00367328
1.67e+10,Capacitance,1.9467e-12,-4.06137e-13,1.9467e-12
1.69e+10,Resistance,5.6737,0.517022,5.6737
1.69e+10,Inductance,1.07009e-08,3.50931e-09,1.07009e-08
1.69e+10,Conductance,0.00371467,-0.000609352,0.00371467
1.69e+10,Capacitance,1.9467e-12,-4.06131e-13,1.9467e-12
1.71e+10,Resistance,5.71005,0.522865,5.71005
1.71e+10,Inductance,1.07007e-08,3.50933e-09,1.07007e-08
1.71e+10,Conductance,0.00375598,-0.000615881,0.00375598
1.71e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.73e+10,Resistance,5.74192,0.525103,5.74192
1.73e+10,Inductance,1.07005e-08,3.50931e-09,1.07005e-08
1.73e+10,Conductance,0.00379786,-0.00062208,0.00379786
1.73e+10,Capacitance,1.9467e-12,-4.06136e-13,1.9467e-12
1.75e+10,Resistance,5.77281,0.526011,5.77281
1.75e+10,Inductance,1.07003e-08,3.5093e-09,1.07003e-08
