Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_2:Line_1_2)
1.78e+10,Capacitance,1.91695e-12
1.79e+10,Resistance,5.65583
1.79e+10,Inductance,1.08678e-08
1.79e+10,Conductance,0.00394233
1.79e+10,Capacitance,1.91695e-12
1.8e+10,Resistance,5.67135
1.8e+10,Inductance,1.08677e-08
1.8e+10,Conductance,0.00396347
1.8e+10,Capacitance,1.91695e-12
1.81e+10,Resistance,5.68664
1.81e+10,Inductance,1.08676e-08
1.81e+10,Conductance,0.00398465
1.81e+10,Capacitance,1.91695e-12
1.82e+10,Resistance,5.70246
1.82e+10,Inductance,1.08675e-08
1.82e+10,Conductance,0.00400573
1.82e+10,Capacitance,1.91695e-12
1.83e+10,Resistance,5.71812
1.83e+10,Inductance,1.08674e-08
1.83e+10,Conductance,0.00402681
1.83e+10,Capacitance,1.91695e-12
1.84e+10,Resistance,5.73394
1.84e+10,Inductance,1.08674e-08
1.84e+10,Conductance,0.00404788
