R,L,G,C 
0.137048027,5.12E-09,-1.02E-07,-5.90E-14
0.197460209,1.05E-08,1.02E-06,-1.15E-13
0.345529512,1.75E-08,1.72E-06,-2.37E-13
0.561860217,4.46E-08,-5.60E-06,-7.86E-13
1.688685005,9.22E-08,-0.000205475,-1.00E-11
12.6608914,4.11E-07,0.002586868,8.66E-11
0.008585919,3.38E-10,9.57E-08,-1.77E-15
0.012877847,4.81E-10,8.32E-08,-3.13E-15
0.018728613,8.50E-10,-7.20E-08,-5.73E-15
0.028739946,1.23E-09,-1.20E-06,-1.09E-14
0.054446447,2.25E-09,6.28E-08,-1.94E-14
0.086409411,3.36E-09,-2.85E-08,-3.33E-14
0.11986222,6.56E-09,6.30E-07,-6.15E-14
0.196075292,1.05E-08,1.02E-06,-1.15E-13
0.248410612,2.40E-08,3.92E-07,-2.55E-13
0.557879373,4.46E-08,-5.64E-06,-7.86E-13
1.262873648,1.48E-07,-0.000472606,-2.09E-11
12.67550545,4.10E-07,0.00258488,8.66E-11
0.005717507,1.93E-10,1.05E-07,-6.94E-16
0.008568475,2.73E-10,8.97E-08,-1.52E-15
0.013054261,4.79E-10,8.25E-08,-3.11E-15
0.019010504,6.90E-10,-1.47E-07,-5.47E-15
0.028707522,1.23E-09,-1.20E-06,-1.09E-14
0.052730021,1.81E-09,4.98E-07,-1.85E-14
0.086546075,3.37E-09,-1.27E-08,-3.33E-14
0.136697076,5.12E-09,-1.21E-07,-5.91E-14
0.195702531,1.05E-08,1.01E-06,-1.15E-13
0.343290298,1.75E-08,1.70E-06,-2.37E-13
0.55645153,4.47E-08,-5.71E-06,-7.87E-13
1.684283883,9.23E-08,-0.000206402,-1.01E-11
12.60450209,4.11E-07,0.002588969,8.66E-11
0.003902417,1.35E-10,9.57E-08,-1.28E-16
0.005824228,1.91E-10,9.23E-08,-6.58E-16
0.008895875,3.34E-10,8.50E-08,-1.62E-15
0.013093062,4.79E-10,8.21E-08,-3.11E-15
0.018759693,8.51E-10,-7.71E-08,-5.73E-15
0.028868157,1.23E-09,-1.17E-06,-1.09E-14
0.054667814,2.25E-09,8.95E-08,-1.94E-14
0.086690496,3.37E-09,-1.42E-08,-3.33E-14
0.120071283,6.57E-09,6.34E-07,-6.16E-14
0.197060832,1.05E-08,1.03E-06,-1.15E-13
0.251573112,2.40E-08,3.86E-07,-2.55E-13
0.567414452,4.47E-08,-5.59E-06,-7.86E-13
1.312527498,1.48E-07,-0.00047174,-2.09E-11
12.56191006,4.11E-07,0.002583302,8.65E-11
0.002563598,7.74E-11,9.53E-08,2.30E-16
0.003763856,1.09E-10,9.31E-08,-1.06E-16
0.00581947,1.91E-10,9.23E-08,-6.58E-16
0.008585674,2.73E-10,8.99E-08,-1.52E-15
0.012894798,4.81E-10,8.35E-08,-3.13E-15
0.018743256,6.94E-10,-1.65E-07,-5.52E-15
0.028729738,1.24E-09,-1.11E-06,-1.10E-14
0.052432965,1.81E-09,5.08E-07,-1.86E-14
0.085901352,3.38E-09,-8.88E-08,-3.36E-14
0.135619007,5.15E-09,-1.38E-07,-5.96E-14
0.191823347,1.05E-08,1.01E-06,-1.15E-13
0.338031724,1.76E-08,1.55E-06,-2.38E-13
0.550312312,4.48E-08,-5.66E-06,-7.89E-13
1.641176532,9.25E-08,-0.000205138,-1.00E-11
12.58639518,4.11E-07,0.002585383,8.66E-11
0.001763744,5.48E-11,9.71E-08,4.85E-16
0.002563379,7.75E-11,9.49E-08,2.27E-16
0.003897607,1.35E-10,9.53E-08,-1.31E-16
0.00572729,1.93E-10,1.05E-07,-6.98E-16
0.008593943,3.39E-10,9.52E-08,-1.78E-15
0.012639478,4.86E-10,9.76E-08,-3.43E-15
0.018112117,8.63E-10,-1.01E-07,-6.34E-15
0.028203947,1.25E-09,-1.11E-06,-1.21E-14
0.05406187,2.29E-09,-1.46E-07,-2.14E-14
0.085388969,3.42E-09,-3.78E-07,-3.68E-14
0.111918725,6.67E-09,6.22E-07,-6.80E-14
